Team,Result,Toss,Bat,Opposition,Ground,Date
West Indies,lost,lost,1st,India,Toronto,11-Sep-99
West Indies,won,won,1st,India,Toronto,12-Sep-99
West Indies,lost,won,2nd,India,Toronto,14-Sep-99
West Indies,lost,lost,1st,India,Bulawayo,30-Jun-01
West Indies,lost,lost,1st,India,Harare,04-Jul-01
West Indies,won,lost,1st,India,Harare,07-Jul-01
West Indies,aban,-,-,India,Kingston,25-May-02
West Indies,aban,-,-,India,Kingston,26-May-02
West Indies,lost,lost,1st,India,Bridgetown,29-May-02
West Indies,won,lost,2nd,India,Port of Spain,01-Jun-02
West Indies,lost,lost,2nd,India,Port of Spain,02-Jun-02
West Indies,won,lost,2nd,India,Jamshedpur,06-Nov-02
West Indies,won,won,2nd,India,Nagpur,09-Nov-02
West Indies,lost,lost,1st,India,Rajkot,12-Nov-02
West Indies,lost,lost,1st,India,Ahmedabad,15-Nov-02
West Indies,won,won,2nd,India,Vadodara,18-Nov-02
West Indies,lost,lost,1st,India,Jodhpur,21-Nov-02
West Indies,won,lost,1st,India,Vijayawada,24-Nov-02
West Indies,lost,won,1st,India,Dambulla,31-Jul-05
West Indies,lost,lost,2nd,India,Colombo (RPS),07-Aug-05
West Indies,lost,lost,1st,India,Kingston,18-May-06
West Indies,won,lost,1st,India,Kingston,20-May-06
West Indies,won,lost,2nd,India,Basseterre,23-May-06
West Indies,won,won,2nd,India,Port of Spain,26-May-06
West Indies,won,lost,1st,India,Port of Spain,28-May-06
West Indies,won,lost,2nd,India,Kuala Lumpur,14-Sep-06
West Indies,lost,lost,2nd,India,Kuala Lumpur,20-Sep-06
West Indies,won,won,2nd,India,Ahmedabad,26-Oct-06
West Indies,lost,won,2nd,India,Nagpur,21-Jan-07
West Indies,lost,lost,2nd,India,Cuttack,24-Jan-07
West Indies,won,won,2nd,India,Chennai,27-Jan-07
West Indies,lost,won,2nd,India,Vadodara,31-Jan-07
West Indies,lost,lost,2nd,India,Kingston,26-Jun-09
West Indies,won,lost,2nd,India,Kingston,28-Jun-09
West Indies,lost,lost,1st,India,Gros Islet,03-Jul-09
West Indies,n/r,lost,1st,India,Gros Islet,05-Jul-09
West Indies,lost,lost,1st,India,Johannesburg,30-Sep-09
West Indies,lost,lost,2nd,India,Chennai,20-Mar-11
West Indies,lost,won,1st,India,Port of Spain,06-Jun-11
West Indies,lost,lost,1st,India,Port of Spain,08-Jun-11
West Indies,lost,lost,1st,India,North Sound,11-Jun-11
West Indies,won,lost,1st,India,North Sound,13-Jun-11
West Indies,won,won,2nd,India,Kingston,16-Jun-11
West Indies,lost,lost,1st,India,Cuttack,29-Nov-11
West Indies,lost,lost,1st,India,Visakhapatnam,02-Dec-11
West Indies,won,lost,1st,India,Ahmedabad,05-Dec-11
West Indies,lost,lost,2nd,India,Indore,08-Dec-11
West Indies,lost,lost,2nd,India,Chennai,11-Dec-11
West Indies,lost,lost,1st,India,The Oval,11-Jun-13
West Indies,won,won,2nd,India,Kingston,30-Jun-13
West Indies,lost,won,2nd,India,Port of Spain,05-Jul-13
West Indies,lost,won,1st,India,Kochi,21-Nov-13
West Indies,won,won,2nd,India,Visakhapatnam,24-Nov-13
West Indies,lost,lost,1st,India,Kanpur,27-Nov-13
West Indies,won,lost,1st,India,Kochi,08-Oct-14
West Indies,lost,lost,2nd,India,Delhi,11-Oct-14
West Indies,canc,-,-,India,Visakhapatnam,14-Oct-14
West Indies,lost,won,2nd,India,Dharamsala,17-Oct-14
West Indies,canc,-,-,India,Kolkata,20-Oct-14
